Age,Educational_level,Screening_time,doubts_frequency,doubts_clearance_frequency,assignments_deadlines,health_problems,lack_of_practical_exposure,Irregular_eating_habits,Exercise,depressiveness,anxiety_interference,overthinking,unnecessary_misunderstandings ,online_courses,courses_completed,concentration_difficulty,procrastination,social_media_hours,hobby_hours,increased_sleep_hours                                                                                                                          ,online_difficulty_level,focus_level,Total
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Always,Never,No,Rarely,No,Always,Occasionally,Yes,Yes,Maybe,3,3,5,5,2,1,1,2,5,21
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,No,Sometimes,No,Never,Never,Maybe,May be,Yes,3,3,4,5,2,1,2,3,4,21
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Sometimes,No,Always,No,Never,All the time,Yes,Yes,Yes,3,3,3,3,2,2,4,2,3,19
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Never,No,Always,No,Always,All the time,Yes,No,Yes,0,0,3,5,2,2,4,5,3,24
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,Yes,Sometimes,Yes,Sometimes,Rarely,No,Yes,Yes,more than 3,1,4,2,1,0,0,3,4,14
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Always,Never,Yes,Sometimes,Yes,Rarely,Rarely,No,May be,Yes,more than 3,more than 3,5,2,1,0,0,3,5,16
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Rarely,Yes,Sometimes,Yes,Never,Rarely,Maybe,Yes,Maybe,more than 3,more than 3,4,2,1,0,0,2,4,13
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Never,No,Sometimes,No,Rarely,Occasionally,Yes,Yes,Maybe,1,0,1,4,1,2,4,5,1,18
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Never,Yes,Never,Yes,Sometimes,Rarely,No,Yes,No,3,0,4,1,1,0,0,2,4,12
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Always,No,Sometimes,No,Sometimes,Rarely,Maybe,No,Maybe,more than 3,more than 3,5,2,1,1,2,2,5,18
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Always,No,Sometimes,No,Rarely,Occasionally,No,Yes,Yes,0,0,4,2,2,1,2,2,4,17
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Always,No,Always,No,Always,Never,Yes,Yes,Yes,more than 3,more than 3,5,3,2,2,2,3,5,22
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Never,No,Always,No,Sometimes,Occasionally,Yes,Yes,Yes,more than 3,more than 3,1,3,2,2,2,4,1,15
16 to 18 years,Secondary School,2 to 3 hours,Always,Always,Sometimes,Yes,Always,Yes,Rarely,Occasionally,Maybe,Yes,No,1,1,5,4,3,1,2,4,5,24
16 to 18 years,Higher Secondary School,4 to 5 hours,Sometimes,Sometimes,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,0,0,4,4,2,0,2,5,3,20
16 to 18 years,Higher Secondary School,4 to 5 hours,Rarely,Sometimes,Never,No,Always,No,Rarely,Never,No,No,Maybe,0,0,2,2,3,1,2,3,3,16
16 to 18 years,Under Graduate,4 to 5 hours,Rarely,Always,Sometimes,Yes,Always,Yes,Rarely,Occasionally,No,Yes,Maybe,more than 3,more than 3,3,2,1,2,2,3,3,16
16 to 18 years,Higher Secondary School,4 to 5 hours,Rarely,Sometimes,Rarely,Yes,Always,Yes,Never,All the time,Yes,Yes,Maybe,1,1,4,5,4,1,4,5,4,27
16 to 18 years,Secondary School,2 to 3 hours,Rarely,Always,Rarely,No,Always,No,Rarely,Occasionally,No,May be,Yes,0,0,4,2,2,1,3,4,5,21
18 to 22 years,Under Graduate,2 to 3 hours,Sometimes,Rarely,Sometimes,Yes,Rarely,Yes,Rarely,Occasionally,Yes,Yes,Maybe,1,1,2,3,2,1,2,4,5,19
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Never,Yes,Always,Yes,Sometimes,Rarely,Maybe,Yes,Maybe,0,0,3,4,2,1,3,3,3,19
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Sometimes,No,Always,No,Rarely,Occasionally,Yes,No,No,0,0,4,5,2,1,2,2,4,20
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,No,Sometimes,No,Sometimes,Occasionally,Maybe,Yes,Yes,more than 3,more than 3,4,2,2,1,2,5,4,20
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Rarely,No,Always,No,Sometimes,Never,No,May be,No,more than 3,more than 3,4,2,2,1,1,3,4,17
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Rarely,No,Always,No,Always,Occasionally,No,Yes,Maybe,more than 3,more than 3,5,5,2,1,1,2,5,21
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Always,Never,No,Rarely,No,Always,Occasionally,Yes,Yes,Maybe,3,3,5,5,2,1,1,2,5,21
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,No,Sometimes,No,Never,Never,Maybe,May be,Yes,3,3,4,5,2,1,2,3,4,21
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Sometimes,No,Always,No,Never,All the time,Yes,Yes,Yes,3,3,3,3,2,2,4,2,3,19
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Never,No,Always,No,Always,All the time,Yes,No,Yes,0,0,3,5,3,2,4,5,3,25
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,Yes,Sometimes,Yes,Sometimes,Rarely,No,Yes,Yes,more than 3,1,4,2,1,0,0,3,4,14
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Always,Never,Yes,Sometimes,Yes,Rarely,Rarely,No,May be,Yes,more than 3,more than 3,5,2,1,0,0,3,5,16
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Rarely,Yes,Sometimes,Yes,Never,Rarely,Maybe,Yes,Maybe,more than 3,more than 3,4,2,1,0,0,2,4,13
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Never,No,Sometimes,No,Rarely,Occasionally,Yes,Yes,Maybe,1,0,1,4,2,2,4,5,1,19
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Never,Yes,Never,Yes,Sometimes,Rarely,No,Yes,No,3,0,4,1,2,0,0,2,4,13
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Always,No,Sometimes,No,Sometimes,Rarely,Maybe,No,Maybe,more than 3,more than 3,5,2,2,1,2,2,5,19
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Always,No,Sometimes,No,Rarely,Occasionally,No,Yes,Yes,0,0,4,2,2,1,2,2,4,17
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Always,No,Always,No,Always,Never,Yes,Yes,Yes,more than 3,more than 3,5,3,2,2,2,3,5,22
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Always,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,2,1,4,4,3,1,2,4,3,21
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Sometimes,No,Never,No,Rarely,Rarely,No,No,Maybe,0,0,2,2,2,2,3,2,3,16
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Never,Yes,Sometimes,Yes,Never,All the time,Yes,Yes,Yes,2,1,4,3,3,2,4,4,4,24
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Never,Yes,Sometimes,Yes,Rarely,All the time,Yes,May be,Maybe,0,0,3,4,3,2,4,4,3,23
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Never,No,Sometimes,No,Always,Occasionally,Maybe,No,No,0,0,4,3,3,2,4,3,3,22
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Never,No,Sometimes,No,Always,Rarely,Maybe,May be,Yes,0,0,4,5,2,2,4,3,3,23
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Sometimes,No,Sometimes,No,Always,Occasionally,Yes,No,No,0,0,3,5,2,2,3,1,3,19
16 to 18 years,Higher Secondary School,3 to 4 hours,Never,Always,Always,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,2,1,2,4,3,1,2,3,2,17
16 to 18 years,Higher Secondary School,3 to 4 hours,Rarely,Always,Always,Yes,Always,Yes,Sometimes,Occasionally,Maybe,May be,Yes,2,1,5,4,3,1,2,3,5,23
16 to 18 years,Higher Secondary School,3 to 4 hours,Rarely,Always,Sometimes,Yes,Always,Yes,Rarely,Occasionally,Yes,Yes,Yes,2,0,5,4,3,1,2,3,5,23
16 to 18 years,Higher Secondary School,3 to 4 hours,Rarely,Sometimes,Sometimes,Yes,Sometimes,Yes,Rarely,All the time,Yes,Yes,Yes,3,1,5,3,3,1,2,2,5,21
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Sometimes,NA,Always,May be,Rarely,All the time,Yes,Yes,Yes,2,1,3,5,3,2,3,4,2,22
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Sometimes,Yes,Sometimes,May be,Sometimes,Rarely,No,May be,Maybe,2,1,3,3,3,1,3,5,2,20
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Rarely,Sometimes,No,Sometimes,May be,Rarely,Rarely,Maybe,No,No,2,2,2,4,2,1,3,5,2,19
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Sometimes,Sometimes,Yes,Sometimes,No,Always,Never,No,No,No,3,2,3,3,3,1,2,2,3,17
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Sometimes,Yes,Sometimes,No,Always,Occasionally,Maybe,May be,Yes,3,1,4,3,3,1,2,3,4,20
16 to 18 years,Higher Secondary School,3 to 4 hours,Rarely,Always,Sometimes,Yes,Sometimes,No,Always,Never,Maybe,Yes,Yes,3,1,4,2,2,1,2,2,4,17
16 to 18 years,Higher Secondary School,3 to 4 hours,Rarely,Always,Sometimes,Yes,Rarely,No,Always,Rarely,Yes,Yes,Yes,3,2,1,2,2,2,2,2,1,12
16 to 18 years,Higher Secondary School,3 to 4 hours,Rarely,Always,Sometimes,Yes,Sometimes,No,Always,All the time,Yes,No,No,0,0,4,4,2,1,2,3,4,20
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Sometimes,Yes,Sometimes,No,Always,All the time,Yes,No,Maybe,3,1,3,2,1,0,0,4,3,13
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Rarely,Never,No,Sometimes,No,Always,Occasionally,Maybe,No,Maybe,more than 3,more than 3,4,2,1,0,0,2,4,13
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Always,Yes,Always,Yes,Sometimes,Rarely,Yes,Yes,Yes,3,1,2,2,2,0,0,4,2,12
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Rarely,Yes,Always,Yes,Sometimes,Rarely,Maybe,May be,No,3,1,3,2,2,0,0,3,3,13
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Always,No,Always,No,Always,Occasionally,Maybe,Yes,Yes,2,2,2,2,3,2,4,3,2,18
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,No,Sometimes,No,Always,Rarely,Maybe,May be,Yes,more than 3,2,3,4,3,1,2,3,3,19
18 to 22 years,Under Graduate,5 to 6 hours,Sometimes,Always,Rarely,Yes,Sometimes,Yes,Sometimes,Occasionally,Maybe,Yes,Maybe,more than 3,2,4,3,4,0,0,3,4,18
18 to 22 years,Under Graduate,5 to 6 hours,Sometimes,Always,Rarely,Yes,Never,Yes,Sometimes,Occasionally,Maybe,Yes,Maybe,more than 3,more than 3,4,4,4,0,0,3,4,19
16 to 18 years,Higher Secondary School,3 to 4 hours,Always,Always,Sometimes,No,Sometimes,No,Always,All the time,Yes,No,Yes,2,2,5,3,2,2,2,3,5,22
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Rarely,Never,No,Never,No,Always,Rarely,No,No,Yes,2,2,4,3,3,1,2,3,4,20
16 to 18 years,Higher Secondary School,3 to 4 hours,Always,Always,Sometimes,Yes,Always,No,Always,Occasionally,Yes,No,Yes,2,3,5,5,4,2,2,3,5,26
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Sometimes,Sometimes,No,Always,No,Always,Occasionally,Maybe,No,No,2,0,2,4,3,2,2,3,2,18
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Always,No,Rarely,No,Always,Occasionally,Maybe,No,Yes,1,2,3,3,2,2,4,3,3,20
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Always,Yes,Rarely,No,Always,Rarely,Yes,No,Yes,1,1,3,3,4,1,3,3,3,20
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Always,Yes,Always,No,Sometimes,Rarely,No,No,Yes,1,1,2,2,4,2,3,3,2,18
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Sometimes,Rarely,Yes,Rarely,No,Sometimes,Rarely,Yes,May be,Yes,3,3,2,2,4,2,2,3,2,17
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Never,Yes,Always,Yes,Never,Rarely,Maybe,Yes,Yes,0,0,5,4,4,1,1,3,5,23
23 to 26 years,Post Graduate,5 to 6 hours,Never,Never,Rarely,No,Always,No,Rarely,Occasionally,Yes,Yes,Yes,3,3,5,5,1,0,0,5,5,21
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Never,Yes,Always,May be,Always,All the time,Yes,No,Yes,3,3,5,2,1,0,0,5,5,18
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Sometimes,Yes,Always,May be,Sometimes,Occasionally,Maybe,May be,Maybe,3,3,4,2,1,0,0,4,4,15
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Sometimes,No,Rarely,No,Rarely,Rarely,Yes,Yes,Yes,2,2,5,4,3,2,4,5,5,28
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Rarely,Yes,Always,Yes,Never,Rarely,No,May be,Yes,3,1,5,2,2,0,0,4,5,18
23 to 26 years,Post Graduate,5 to 6 hours,Never,Never,Rarely,No,Sometimes,No,Sometimes,Occasionally,Maybe,Yes,Yes,3,2,5,2,1,0,0,4,5,17
18 to 22 years,Under Graduate,4 to 5 hours,Always,Always,Sometimes,No,Sometimes,No,Sometimes,All the time,Yes,No,No,2,2,4,4,3,0,2,4,4,21
18 to 22 years,Under Graduate,4 to 5 hours,Always,Always,Sometimes,No,Always,No,Always,Occasionally,No,Yes,Yes,2,2,5,5,3,0,2,5,5,25
18 to 22 years,Under Graduate,4 to 5 hours,Always,Always,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Maybe,Yes,Yes,more than 3,more than 3,3,4,3,0,2,1,2,15
18 to 22 years,Under Graduate,4 to 5 hours,Always,Rarely,Never,No,Always,No,Never,All the time,Yes,May be,Yes,0,0,5,5,2,1,2,5,5,25
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Rarely,No,Rarely,No,Sometimes,All the time,Maybe,Yes,No,more than 3,more than 3,3,2,2,1,1,3,3,15
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Sometimes,No,Sometimes,No,Sometimes,Rarely,Yes,Yes,Yes,more than 3,more than 3,4,3,2,1,3,3,4,20
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Rarely,No,Always,No,Always,Rarely,Maybe,May be,No,more than 3,more than 3,4,4,2,0,2,2,4,18
13 to 15 years,Secondary School,2 to 3 hours,Always,Sometimes,Always,No,Rarely,No,Sometimes,Occasionally,Yes,No,Yes,3,3,2,4,3,2,4,2,2,19
13 to 15 years,Secondary School,2 to 3 hours,Always,Sometimes,Always,No,Always,No,Always,Rarely,Maybe,No,Maybe,more than 3,more than 3,2,2,3,2,4,1,2,16
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Always,No,Sometimes,No,Sometimes,Rarely,No,No,Yes,more than 3,1,3,1,3,2,4,2,3,18
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Sometimes,Yes,Always,Yes,Always,Never,No,Yes,Yes,more than 3,more than 3,2,2,2,0,0,4,2,12
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Rarely,Yes,Always,Yes,Rarely,Occasionally,Yes,May be,Maybe,3,2,4,2,1,0,0,3,4,14
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,No,Sometimes,No,Always,Never,Yes,Yes,Yes,more than 3,more than 3,4,2,1,0,1,1,4,13
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Always,No,Always,No,Always,All the time,Yes,Yes,Yes,more than 3,more than 3,5,3,1,0,1,4,5,19
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Rarely,Yes,Always,Yes,Rarely,Occasionally,Yes,May be,Maybe,3,2,4,2,1,0,0,3,4,14
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,No,Sometimes,No,Always,Never,Yes,Yes,Yes,more than 3,more than 3,4,2,1,0,1,1,4,13
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Always,No,Always,No,Always,All the time,Yes,Yes,Yes,more than 3,more than 3,5,3,2,0,1,4,5,20
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Never,Yes,Always,Yes,Always,Never,No,May be,No,more than 3,more than 3,5,1,2,0,1,4,4,17
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Never,No,Always,No,Sometimes,Occasionally,No,No,No,1,0,5,5,2,0,1,4,5,22
18 to 22 years,Under Graduate,4 to 5 hours,Never,Always,Sometimes,Yes,Always,Yes,Rarely,All the time,Yes,Yes,Yes,more than 3,more than 3,5,5,2,0,2,4,5,23
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,Yes,Rarely,Yes,Sometimes,Rarely,No,No,Yes,1,1,3,2,2,0,1,2,4,14
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,Yes,Sometimes,Yes,Rarely,Occasionally,Yes,Yes,Yes,2,1,4,4,2,0,1,4,4,19
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Always,Yes,Sometimes,Yes,Sometimes,Rarely,Yes,Yes,Yes,more than 3,more than 3,4,4,2,0,1,4,4,19
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,Yes,Always,May be,Never,Occasionally,Yes,Yes,Maybe,more than 3,more than 3,5,4,2,0,1,4,5,21
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Always,Yes,Always,May be,Never,Rarely,No,No,Yes,more than 3,more than 3,5,3,2,0,1,4,5,20
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Rarely,Rarely,No,Always,No,Sometimes,Occasionally,No,Yes,Yes,1,1,2,4,3,2,4,2,2,19
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Sometimes,Yes,Always,Yes,Never,Occasionally,Yes,Yes,Yes,more than 3,3,4,4,1,0,0,5,4,18
18 to 22 years,Under Graduate,5 to 6 hours,Sometimes,Always,Sometimes,No,Always,No,Sometimes,Occasionally,Yes,Yes,Yes,2,1,3,4,1,0,1,3,3,15
18 to 22 years,Under Graduate,5 to 6 hours,Always,Always,Sometimes,No,Always,No,Always,Occasionally,No,Yes,Yes,1,1,2,4,1,1,2,2,2,14
18 to 22 years,Under Graduate,5 to 6 hours,Always,Always,Sometimes,No,Always,No,Always,Never,Yes,No,No,2,2,3,4,1,1,2,2,3,16
18 to 22 years,Under Graduate,4 to 5 hours,Always,Always,Sometimes,No,Sometimes,No,Always,Occasionally,Yes,Yes,Yes,more than 3,more than 3,4,4,1,1,2,4,4,20
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Sometimes,No,Rarely,No,Sometimes,Occasionally,Yes,Yes,Yes,1,1,2,4,1,2,4,2,2,17
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Sometimes,No,Always,No,Sometimes,Occasionally,No,Yes,Yes,more than 3,2,5,3,1,0,0,3,4,16
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,more than 3,3,4,4,1,0,0,5,4,18
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Sometimes,No,Always,No,Always,Rarely,No,No,No,2,2,4,4,1,0,0,4,4,17
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Always,Rarely,No,Always,No,Always,Occasionally,No,Yes,Maybe,more than 3,more than 3,5,5,3,1,1,2,5,22
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Always,Never,No,Rarely,No,Always,Occasionally,Yes,Yes,Maybe,3,3,5,5,2,1,1,2,5,21
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,No,Sometimes,No,Never,Never,Maybe,May be,Yes,3,3,4,5,2,1,2,3,4,21
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Sometimes,No,Always,No,Never,All the time,Yes,Yes,Yes,3,3,3,3,2,2,4,2,3,19
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Never,No,Always,No,Always,All the time,Yes,No,Yes,0,0,3,5,2,2,4,5,3,24
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,Yes,Sometimes,Yes,Sometimes,Rarely,No,Yes,Yes,more than 3,1,4,2,2,0,0,3,4,15
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Always,Never,Yes,Sometimes,Yes,Rarely,Rarely,No,May be,Yes,more than 3,more than 3,5,2,2,0,0,3,5,17
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Rarely,Yes,Sometimes,Yes,Never,Rarely,Maybe,Yes,Maybe,more than 3,more than 3,4,2,2,0,0,2,4,14
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Never,No,Sometimes,No,Rarely,Occasionally,Yes,Yes,Maybe,1,0,1,4,1,2,4,5,1,18
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Never,Yes,Never,Yes,Sometimes,Rarely,No,Yes,No,3,0,4,1,2,0,0,2,4,13
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Always,No,Sometimes,No,Sometimes,Rarely,Maybe,No,Maybe,more than 3,more than 3,5,2,1,1,2,2,5,18
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Always,No,Sometimes,No,Rarely,Occasionally,No,Yes,Yes,0,0,4,2,1,1,2,2,4,16
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Always,No,Always,No,Always,Never,Yes,Yes,Yes,more than 3,more than 3,5,3,1,2,2,3,5,21
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Always,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,2,1,4,4,2,1,2,4,3,20
18 to 22 years,Under Graduate,4 to 5 hours,Always,Always,Rarely,No,Rarely,No,Sometimes,Rarely,No,No,No,more than 3,more than 3,3,4,1,1,1,1,3,14
16 to 18 years,Higher Secondary School,3 to 4 hours,Always,Always,Never,Yes,Rarely,No,Sometimes,Occasionally,No,May be,Yes,3,0,4,4,2,2,2,3,4,21
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Sometimes,Rarely,Yes,Rarely,No,Sometimes,Rarely,Yes,May be,Yes,3,3,2,2,2,2,2,3,2,15
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Never,Yes,Always,Yes,Never,Rarely,Maybe,Yes,Yes,0,0,5,4,2,1,1,3,5,21
23 to 26 years,Post Graduate,5 to 6 hours,Never,Never,Rarely,No,Always,No,Rarely,Occasionally,Yes,Yes,Yes,3,3,5,5,1,0,0,5,5,21
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Never,Yes,Always,May be,Always,All the time,Yes,No,Yes,3,3,5,2,1,0,0,5,5,18
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Sometimes,Yes,Always,May be,Sometimes,Occasionally,Maybe,May be,Maybe,3,3,4,2,1,0,0,4,4,15
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Sometimes,No,Rarely,No,Rarely,Rarely,Yes,Yes,Yes,2,2,5,4,3,2,4,5,5,28
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Rarely,Yes,Always,Yes,Never,Rarely,No,May be,Yes,3,1,5,2,1,0,0,4,5,17
18 to 22 years,Under Graduate,4 to 5 hours,Rarely,Always,Never,No,Rarely,No,Always,Occasionally,Yes,Yes,Maybe,3,3,5,5,3,1,1,2,5,22
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,No,Sometimes,No,Never,Never,Maybe,May be,Yes,3,3,4,5,3,1,2,3,4,22
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Sometimes,No,Always,No,Never,All the time,Yes,Yes,Yes,3,3,3,3,3,2,4,2,3,20
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Never,No,Always,No,Always,All the time,Yes,No,Yes,0,0,3,5,3,2,4,5,3,25
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,Yes,Sometimes,Yes,Sometimes,Rarely,No,Yes,Yes,more than 3,1,4,2,2,0,0,3,4,15
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Always,Never,Yes,Sometimes,Yes,Rarely,Rarely,No,May be,Yes,more than 3,more than 3,5,2,1,0,0,3,5,16
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Rarely,Yes,Sometimes,Yes,Never,Rarely,Maybe,Yes,Maybe,more than 3,more than 3,4,2,2,0,0,2,4,14
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Never,No,Sometimes,No,Rarely,Occasionally,Yes,Yes,Maybe,1,0,1,4,1,2,4,5,1,18
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Never,Yes,Never,Yes,Sometimes,Rarely,No,Yes,No,3,0,4,1,2,0,0,2,4,13
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Always,No,Sometimes,No,Sometimes,Rarely,Maybe,No,Maybe,more than 3,more than 3,5,2,1,1,2,2,5,18
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Never,Yes,Never,Yes,Sometimes,Rarely,No,Yes,No,3,0,4,1,2,0,0,2,4,13
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Always,No,Sometimes,No,Sometimes,Rarely,Maybe,No,Maybe,more than 3,more than 3,5,2,2,1,2,2,5,19
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Always,No,Always,Yes,Sometimes,All the time,Yes,Yes,Yes,3,2,4,2,1,2,3,3,4,19
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Always,Yes,Always,Yes,Sometimes,All the time,Yes,May be,Maybe,2,1,3,3,4,1,3,4,3,21
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Never,Yes,Sometimes,Yes,Never,All the time,Yes,Yes,Yes,2,1,4,2,4,2,4,4,4,24
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Never,Yes,Sometimes,Yes,Rarely,All the time,Yes,May be,Maybe,0,0,3,2,4,2,4,4,3,22
